TICKER,date,PRC
HCP,2025-01-14,34.3700
HCP,2025-01-15,34.3000
HCP,2025-01-16,34.3100
HCP,2025-01-17,34.3300
HCP,2025-01-21,34.2800
HCP,2025-01-22,34.2800
HCP,2025-01-23,34.2500
HCP,2025-01-24,34.2500
HCP,2025-01-27,34.3100
HCP,2025-01-28,34.2900
HCP,2025-01-29,34.3000
HCP,2025-01-30,34.2500
HCP,2025-01-31,34.2000
HCP,2025-02-03,34.2400
HCP,2025-02-04,34.1900
HCP,2025-02-05,34.1200
HCP,2025-02-06,34.0000
HCP,2025-02-07,33.9900
HCP,2025-02-10,34.2100
HCP,2025-02-11,34.1100
HCP,2025-02-12,34.2200
HCP,2025-02-13,34.3600
HCP,2025-02-14,34.3900
HCP,2025-02-18,34.3700
HCP,2025-02-19,34.4700
HCP,2025-02-20,34.4800
HCP,2025-02-21,34.5000
HCP,2025-02-24,34.4400
HCP,2025-02-25,34.8100
HCP,2025-02-26,34.7800
CFLT,2021-06-25,46.1500
CFLT,2021-06-29,50.0000
CFLT,2021-06-30,47.5000
CFLT,2021-07-01,44.2500
CFLT,2021-07-02,43.5000
CFLT,2021-07-06,43.0000
CFLT,2021-07-08,42.6500
CFLT,2021-07-09,45.8100
CFLT,2021-07-12,45.0600
CFLT,2021-07-13,43.3300
CFLT,2021-07-14,41.5000
CFLT,2021-07-15,40.4800
CFLT,2021-07-16,40.4000
CFLT,2021-07-19,40.1400
CFLT,2021-07-20,40.6300
CFLT,2021-07-21,39.3600
CFLT,2021-07-22,39.3700
CFLT,2021-07-23,40.0400
CFLT,2021-07-26,40.0000
CFLT,2021-07-27,39.0100
CFLT,2021-07-28,39.2300
CFLT,2021-07-29,39.0000
CFLT,2021-07-30,39.1900
CFLT,2021-08-02,41.5400
CFLT,2021-08-03,41.4100
CFLT,2021-08-04,41.5100
CFLT,2021-08-05,40.2500
CFLT,2021-08-06,44.3700
CFLT,2021-08-09,47.2800
CFLT,2021-08-10,50.4900
CFLT,2021-08-11,50.0600
CFLT,2021-08-12,54.1500
CFLT,2021-08-13,54.0000
CFLT,2021-08-16,51.9900
CFLT,2021-08-17,52.4700
CFLT,2021-08-18,52.7300
CFLT,2021-08-19,52.0700
CFLT,2021-08-20,54.0300
CFLT,2021-08-23,55.7800
CFLT,2021-08-24,52.0200
CFLT,2021-08-25,52.9100
CFLT,2021-08-26,57.6800
CFLT,2021-08-27,55.0000
CFLT,2021-08-30,56.1400
CFLT,2021-08-31,55.9100
CFLT,2021-09-01,53.0700
CFLT,2021-09-02,54.4800
CFLT,2021-09-03,59.0100
CFLT,2021-09-07,61.3300
CFLT,2021-09-08,58.7300
CFLT,2021-09-09,64.9000
CFLT,2021-09-10,65.5100
CFLT,2021-09-13,65.1500
CFLT,2021-09-14,63.8700
CFLT,2021-09-15,67.3400
CFLT,2021-09-16,67.7400
CFLT,2021-09-17,69.7600
CFLT,2021-09-20,63.7300
CFLT,2021-09-21,65.6000
CFLT,2021-09-22,69.0400
CFLT,2021-09-23,72.6100
CFLT,2021-09-24,71.1600
CFLT,2021-09-27,70.1700
CFLT,2021-09-28,62.5700
CFLT,2021-09-29,58.7600
CFLT,2021-09-30,59.6500
CFLT,2021-10-01,63.5600
CFLT,2021-10-04,59.0700
CFLT,2021-10-05,59.1400
CFLT,2021-10-06,62.9000
CFLT,2021-10-07,67.1800
CFLT,2021-10-08,64.5900
CFLT,2021-10-11,60.3600
CFLT,2021-10-12,63.7200
CFLT,2021-10-13,66.5000
CFLT,2021-10-14,67.4500
CFLT,2021-10-15,66.9000
CFLT,2021-10-18,65.5300
CFLT,2021-10-19,66.6600
CFLT,2021-10-20,66.6600
CFLT,2021-10-21,68.8300
CFLT,2021-10-22,67.7900
CFLT,2021-10-25,68.4600
CFLT,2021-10-26,65.8900
CFLT,2021-10-27,63.4300
CFLT,2021-10-28,67.1600
CFLT,2021-10-29,67.9500
CFLT,2021-11-01,70.8900
CFLT,2021-11-02,75.9500
CFLT,2021-11-03,76.5500
CFLT,2021-11-04,73.6000
CFLT,2021-11-05,93.6000
CFLT,2021-11-08,88.0000
CFLT,2021-11-09,89.9500
CFLT,2021-11-10,89.6100
CFLT,2021-11-11,88.1300
CFLT,2021-11-12,90.0100
CFLT,2021-11-15,80.0000
CFLT,2021-11-16,81.9300
CFLT,2021-11-17,79.8200
CFLT,2021-11-18,80.1600
CFLT,2021-11-19,79.7500
CFLT,2021-11-22,77.0900
CFLT,2021-11-23,75.6200
CFLT,2021-11-24,79.7900
CFLT,2021-11-26,81.0400
CFLT,2021-11-29,84.4400
CFLT,2021-11-30,78.0200
CFLT,2021-12-01,70.5600
CFLT,2021-12-02,77.0100
CFLT,2021-12-03,72.6800
CFLT,2021-12-06,68.7500
CFLT,2021-12-07,73.0900
CFLT,2021-12-08,69.0100
CFLT,2021-12-09,66.9000
CFLT,2021-12-10,64.4400
CFLT,2021-12-13,63.7700
CFLT,2021-12-14,62.8900
CFLT,2021-12-15,63.8600
CFLT,2021-12-16,59.9800
CFLT,2021-12-17,63.2700
CFLT,2021-12-20,65.1600
CFLT,2021-12-21,68.9500
CFLT,2021-12-22,69.5000
CFLT,2021-12-23,71.7700
CFLT,2021-12-27,76.5900
CFLT,2021-12-28,74.9600
CFLT,2021-12-29,75.0800
CFLT,2021-12-30,77.3600
CFLT,2021-12-31,76.2400
CFLT,2022-01-03,69.9200
CFLT,2022-01-04,64.9700
